Respondent.Serial,sample_group,idfx,respID,sernofx,S1,S2,respondent_age,hAgeRecode,S3,S4,S5,S6,S7 (1/9),S7 (2/9),S7 (3/9),S7 (4/9),S7 (5/9),S7 (6/9),S7 (7/9),S7 (8/9),S7 (9/9),Q1,Q2,Q3,Q4,Q5 (1/24),Q5 (2/24),Q5 (3/24),Q5 (4/24),Q5 (5/24),Q5 (6/24),Q5 (7/24),Q5 (8/24),Q5 (9/24),Q5 (10/24),Q5 (11/24),Q5 (12/24),Q5 (13/24),Q5 (14/24),Q5 (15/24),Q5 (16/24),Q5 (17/24),Q5 (18/24),Q5 (19/24),Q5 (20/24),Q5 (21/24),Q5 (22/24),Q5 (23/24),Q5 (24/24),OB1_loop[{_01}].OB1,OB1_loop[{_02}].OB1,OB1_loop[{_03}].OB1,OB1_loop[{_04}].OB1,OB1_loop[{_05}].OB1,OB1_loop[{_06}].OB1,OB1_loop[{_07}].OB1,OB1_loop[{_08}].OB1,OB1_loop[{_09}].OB1,OB1_loop[{_10}].OB1,OB1_loop[{_11}].OB1,OB1_loop[{_12}].OB1,OB1_loop[{_13}].OB1,OB1_loop[{_14}].OB1,OB2,OB3,OB4 (1/8),OB4 (2/8),OB4 (3/8),OB4 (4/8),OB4 (5/8),OB4 (6/8),OB4 (7/8),OB4 (8/8),OB5_loop[{_01}].OB5,OB5_loop[{_02}].OB5,OB5_loop[{_03}].OB5,OB5_loop[{_04}].OB5,OB5_loop[{_05}].OB5,OB5_loop[{_06}].OB5,OB5_loop[{_07}].OB5,OB5_loop[{_Other}].OB5,C0,C1,hCompanySize,C2,C3,C4,C5,C6 (1/6),C6 (2/6),C6 (3/6),C6 (4/6),C6 (5/6),C6 (6/6),C7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,gen_pop,JDHLC4,JDHLC4,237,_02,1991,34,age_03,_05,_01,_03,_04,_04,,,,,,,,,_04,"It’s a start up company that has a lot of core values and a vision that I believe in, it’s hard work but worth it being a part of such a growing company, and to make an impact",_02,,,,,,,,,,,,,,,,,,,,,,,,,,_03,_04,_04,_04,_02,_03,_04,_03,_03,_04,_03,_03,_03,_04,_03,_02,none,,,,,,,,,,,,,,,,Yes,_04,company_03,_03,_03,_01,_06,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,gen_pop,ELD7E6,ELD7E6,246,_02,1984,41,age_04,_06,_01,_02,_03,_03,,,,,,,,,_04,"I have the chance to work at a level that is beyond what I would get to do in the tech world, while still being in the thick of technology. My role is all of the things, and the variety is what I love the most about it.",_02,,,,,,,,,,,,,,,,,,,,,,,,,,_03,_04,_04,_02,_03,_03,_04,_03,_04,_03,_04,_04,_04,_04,_02,_02,_01,_05,_06,,,,,,_05,,,,_04,_04,,,Yes,_03,company_02,_10,_01,_03,_09,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,gen_pop,4N5H6B,4N5H6B,252,_02,1995,30,age_03,_02,_01,_02,_03,_02,,,,,,,,,_04,"Great technology, great team",_01,,,,,,,,,,,,,,,,,,,,,,,,,,_02,_04,_02,_04,_01,_03,_03,_03,_03,_04,_04,_03,_03,_03,_04,_01,_05,,,,,,,,,,,,_03,,,,Yes,_04,company_03,_04,_01,_01,_09,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,gen_pop,6AHK8A,6AHK8A,253,_02,1979,46,age_05,_06,_01,_02,_04,_02,,,,,,,,,_05,Excellent company to work for with a strong company culture. Lots of resources and support,_01,,,,,,,,,,,,,,,,,,,,,,,,,,_03,_04,_04,_04,_01,_02,_03,_04,_04,_04,_04,_04,_04,_04,_02,_01,_05,_06,,,,,,,,,,,_04,_04,,,Yes,_02,company_01,_05,_01,_02,_07,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,gen_pop,8IJH46,8IJH46,255,_02,1979,46,age_05,_06,_01,_02,_04,_01,_04,_05,_06,_07,_08,,,,_04,"The security industry has ongoing challenges in aging technology and services. There is a tremendous opportunity for growth, development and innovation at my company.",_03,_03,_06,_13,_09,_04,,,,,,,,,,,,,,,,,,,,,_04,_04,_04,_04,_02,_03,_03,_04,_03,_04,_03,_04,_03,_04,_03,_01,_03,_05,_04,,,,,,,,_04,_03,_03,,,,Yes,_08,company_05,_10,_01,_01,_09,_01,,,,,,_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,gen_pop,9JD926,9JD926,256,_02,1965,60,age_06,_07,_01,_Other,_01,_01,,,,,,,,,_04,Love being my own boss. Great clients. I feel appreciated. But I miss having benefits like health insurance and PTO.,_01,,,,,,,,,,,,,,,,,,,,,,,,,,_03,_04,_04,_04,_03,_03,_04,_03,_04,_04,_04,_04,_04,_04,_07,_04,_01,_06,_04,_07,,,,,_04,,,_03,,_04,_03,,No,_01,company_01,_01,_01,_01,_09,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,gen_pop,IJH6EG,IJH6EG,257,_02,1979,46,age_05,_07,_01,_03,_03,_01,,,,,,,,,_04,Enjoy what I do and the company I work for.,_02,,,,,,,,,,,,,,,,,,,,,,,,,,_03,_04,_04,_02,_01,_02,_04,_04,_04,_04,_04,_04,_04,_04,_02,_01,_06,_07,_03,_05,,,,,,,_03,,_03,_03,_03,,Yes,_08,company_05,_08,_01,_02,_09,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,gen_pop,I73FCG,I73FCG,260,_02,1986,39,age_04,_06,_03,_Other,_04,_06,,,,,,,,,_02,Laid off and looking for security management roles.,_05,_01,_04,_11,,,,,,,,,,,,,,,,,,,,,,,_03,_04,_04,_04,_01,_04,_04,_04,_04,_04,_04,_04,_04,_04,_03,_04,_05,_02,_01,,,,,,_05,_04,,,_05,,,,Yes,_08,company_05,_10,_01,_03,_08,_02,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,gen_pop,I7AJ44,I7AJ44,366,_02,1992,33,age_03,_04,_01,_03,_04,_04,_06,,,,,,,,_03,There is an area of improvement,_04,_03,_03,_04,_18,,,,,,,,,,,,,,,,,,,,,,_04,_04,_04,_04,_03,_03,_04,_04,_03,_02,_02,_02,_03,_04,_02,_01,_03,_02,_04,_05,_07,,,,,_05,_04,_05,_05,,_05,,Yes,_08,company_05,_10,_01,_03,_05,_Other,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,gen_pop,MGJAHK,MGJAHK,367,_02,1976,49,age_05,_07,_01,_01,_02,_01,,,,,,,,,_05,I am challenged and creative,_01,,,,,,,,,,,,,,,,,,,,,,,,,,_01,_03,_02,_01,_01,_02,_03,_02,_04,_04,_04,_04,_04,_04,_02,_01,_05,_06,,,,,,,,,,,_03,_05,,,Yes,_08,company_05,_10,_04,_01,_09,_01,_04,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,gen_pop,8JKAIH,8JKAIH,369,_02,1986,39,age_04,_06,_01,_03,_04,_03,,,,,,,,,_04,I'm feeling challenged and appreciated. Also experiencing opportunities to learn and grow,_02,,,,,,,,,,,,,,,,,,,,,,,,,,_03,_04,_03,_03,_02,_01,_03,_03,_04,_04,_04,_04,_04,_04,_04,_01,_06,_01,_04,_07,_05,,,,_04,,,_04,_04,_03,_04,,Yes,_06,company_04,_06,_01,_03,_09,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,gen_pop,KI7D1M,KI7D1M,371,_02,1967,58,age_06,_07,_01,_02,_Other,_02,,,,,,,,,_04,I love helping end users solve vulnerabilities to protect their people/property,_01,,,,,,,,,,,,,,,,,,,,,,,,,,_04,_04,_04,_03,_02,_03,_04,_03,_04,_04,_04,_04,_04,_04,_02,_01,_05,_01,_06,_07,,,,,_04,,,,_04,_04,_05,,Yes,_08,company_05,_09,_04,_01,_07,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,gen_pop,G8HCCJ,G8HCCJ,375,_02,2000,25,age_03,_04,_01,_02,_Other,_03,,,,,,,,,_04,"Job security, tasks, leadership, and more.",_02,,,,,,,,,,,,,,,,,,,,,,,,,,_03,_04,_04,_04,_02,_02,_03,_02,_03,_02,_04,_03,_04,_04,_04,_02,_06,,,,,,,,,,,,,_03,,,Yes,_04,company_03,_04,_04,_01,_05,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,gen_pop,28489E,28489E,378,_02,1979,46,age_05,_07,_01,_Other,_Other,_06,,,,,,,,,_03,I feel as though my position is underutilized by my direct supervisor.,_03,_03,_16,_18,_10,,,,,,,,,,,,,,,,,,,,,,_02,_03,_03,_01,_01,_02,_02,_01,_04,_03,_04,_04,_04,_03,_03,_01,_05,_Other,,,,,,,,,,,_04,,,_04,Yes,_03,company_02,_10,_01,_01,_09,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,gen_pop,2BL8J2,2BL8J2,379,_02,1982,43,age_04,_03,_01,_01,_06,_04,,,,,,,,,_02,I am still learning this industry.  It is not my passion just a job.,_03,_03,_02,,,,,,,,,,,,,,,,,,,,,,,,_03,_03,_03,_03,_03,_03,_02,_02,_02,_02,_02,_02,_03,_03,_02,_01,_05,,,,,,,,,,,,_02,,,,Yes,_04,company_03,_04,_04,_01,_03,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,gen_pop,1BBHFI,1BBHFI,380,_02,1971,54,age_05,_04,_01,_04,_04,_04,,,,,,,,,_04,I work on the construction side of physical security.  Not sure where to go from here.,_03,_03,_18,_02,_19,_09,,,,,,,,,,,,,,,,,,,,,_02,_04,_03,_02,_01,_01,_03,_01,_04,_04,_04,_04,_04,_04,_04,_01,_07,_05,_04,_03,_02,_06,,,,_03,_03,_04,_04,_04,_05,,Yes,_08,company_05,_10,_04,_01,_06,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,gen_pop,JFJF4N,JFJF4N,381,_02,1968,57,age_06,_07,_01,_01,_02,_01,_02,_03,_04,_05,_07,,,,_04,"I always try to improve myself.  This industry is constantly evolving, and you can never stay stagnant.",_01,,,,,,,,,,,,,,,,,,,,,,,,,,_03,_03,_04,_03,_02,_03,_04,_02,_04,_03,_04,_04,_03,_03,_03,_01,_04,_01,_06,_05,,,,,_03,,,_03,_04,_04,,,Yes,_04,company_03,_05,_04,_01,_08,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,gen_pop,4NMA56,4NMA56,382,_02,1971,54,age_05,_07,_01,_04,_02,_06,,,,,,,,,_05,I get to do what I love everyday.,_01,,,,,,,,,,,,,,,,,,,,,,,,,,_03,_04,_03,_01,_02,_02,_03,_02,_04,_04,_04,_04,_04,_04,_05,_01,_07,_01,,,,,,,_04,,,,,,_04,,Yes,_08,company_05,_10,_04,_01,_09,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,gen_pop,29LNAD,29LNAD,384,_02,1973,52,age_05,_05,_01,_Other,_03,_03,,,,,,,,,_03,Opportunity for growth and advancement in the rapidly changing industry,_02,,,,,,,,,,,,,,,,,,,,,,,,,,_02,_03,_03,_02,_02,_02,_03,_03,_03,_03,_03,_02,_03,_03,_04,_01,_05,_06,_07,_04,,,,,,,,_04,_04,_04,_04,,Yes,_08,company_05,_10,_01,_01,_10,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,gen_pop,5AM6GK,5AM6GK,385,_02,1982,43,age_04,_07,_01,_01,_03,_01,,,,,,,,,_04,I love my job and my team I work with. The security industry is amazing. I have had wonderful mentors and opportunities in my career.,_02,,,,,,,,,,,,,,,,,,,,,,,,,,_03,_04,_03,_04,_02,_03,_03,_03,_04,_04,_04,_04,_04,_04,_02,_01,_07,_06,_05,_04,,,,,,,,_03,_04,_03,_04,,Yes,_08,company_05,_10,_01,_02,_09,_01,_05,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,gen_pop,A3HBKJ,A3HBKJ,386,_02,1984,41,age_04,_06,_01,_02,_03,_03,,,,,,,,,_04,"The security industry offers a lot of diverse options for fostering growth in a marketing career, with companies often using generalists like me as a result of more limited budgets. Because of this, I have been able to learn a lot about the marketing function and grow my skillset that much faster than I could outside of the industry.",_02,,,,,,,,,,,,,,,,,,,,,,,,,,_03,_03,_03,_02,_03,_02,_03,_03,_04,_04,_04,_03,_04,_04,_02,_02,_06,_01,_05,,,,,,_05,,,,_05,_04,,,Yes,_03,company_02,_03,_01,_03,_09,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,gen_pop,B12432,B12432,387,_02,1982,43,age_04,_03,_01,_03,_03,_02,,,,,,,,,_02,Expectation vs reality,_04,_03,_11,_02,_04,,,,,,,,,,,,,,,,,,,,,,_04,_04,_04,_03,_02,_03,_04,_03,_04,_04,_04,_04,_04,_04,_02,_01,_06,_05,_07,,,,,,,,,,_03,_04,_04,,Yes,_01,company_01,_05,_04,_03,_08,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,gen_pop,F94GD8,F94GD8,390,_02,1986,39,age_04,_05,_01,_Other,_03,_02,_03,_04,_08,_Other,,,,,_04,It's a great community of professionals to work with.,_03,_03,_09,_03,_10,_02,_12,,,,,,,,,,,,,,,,,,,,_03,_04,_04,_04,_02,_03,_04,_02,_02,_03,_03,_03,_03,_03,_05,_01,_06,_05,,,,,,,,,,,_03,_03,,,Yes,_04,company_03,_08,_01,_03,_07,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,gen_pop,68CL65,68CL65,391,_02,1963,62,age_06,_07,_01,_02,_02,_01,,,,,,,,,_04,We are working hard everyday to advance the people in this industry,_01,,,,,,,,,,,,,,,,,,,,,,,,,,_04,_03,_04,_02,_02,_03,_03,_03,_04,_04,_04,_03,_03,_04,_02,_01,_01,_03,_05,_06,_07,,,,_05,,_05,,_05,_04,_04,,Yes,_08,company_05,_10,_01,_01,_09,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,gen_pop,2MHHDL,2MHHDL,392,_02,1994,31,age_03,_05,_01,_02,_03,_02,,,,,,,,,_03,Acquisitions are never fun.,_03,_01,_03,_18,,,,,,,,,,,,,,,,,,,,,,,_04,_04,_04,_04,_01,_03,_03,_02,_03,_03,_03,_03,_02,_04,_05,_02,_04,_06,_07,_05,_02,,,,,_05,,_03,_03,_03,_05,,Yes,_08,company_05,_10,_01,_03,_07,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,gen_pop,9NJ6HD,9NJ6HD,393,_02,1975,50,age_05,_07,_01,_04,_03,_01,_04,_06,,,,,,,_03,I’m still fighting the good ole boys club.,_04,_01,_02,_16,,,,,,,,,,,,,,,,,,,,,,,_04,_03,_04,_02,_01,_02,_04,_03,_04,_03,_03,_04,_03,_04,_02,_01,_05,_06,_04,_02,_07,_03,,,,_04,_04,_04,_04,_04,_04,,Yes,_08,company_05,_04,_01,_04,_09,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,gen_pop,JGEKIA,JGEKIA,394,_02,1969,56,age_06,_06,_01,_02,_04,_02,,,,,,,,,_04,opportunity for advancement and growth,_02,,,,,,,,,,,,,,,,,,,,,,,,,,_03,_04,_03,_04,_01,_03,_04,_04,_04,_04,_04,_04,_03,_04,_02,_01,_04,_03,_06,_07,_01,_05,,,_04,,_04,_03,_04,_03,_03,,Yes,_06,company_04,_06,_01,_01,_09,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,gen_pop,E12H79,E12H79,395,_02,2001,24,age_02,_04,_01,_02,_Other,_02,_Other,,,,,,,,_05,Opportunity for growth at company and industry wide. I am able to learn and develop on a daily basis,_01,,,,,,,,,,,,,,,,,,,,,,,,,,_03,_03,_03,_01,_02,_01,_02,_02,_03,_03,_04,_04,_03,_04,_03,_01,_03,_05,_07,,,,,,,,_05,,_05,,_05,,Yes,_08,company_05,_09,_04,_01,_04,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,gen_pop,F1JED3,F1JED3,396,_02,1997,28,age_03,_03,_01,_02,_Other,_02,,,,,,,,,_04,"Great team, lots to learn, opportunities to try new things",_03,_01,_19,_09,_02,_04,_11,,,,,,,,,,,,,,,,,,,,_04,_04,_04,_03,_01,_03,_04,_03,_04,_04,_04,_04,_04,_04,_03,_01,_06,_05,_Other,,,,,,,,,,_03,_03,,_04,Yes,_08,company_05,_10,_03,_01,_06,_01,,,,,,_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,gen_pop,F7FMKJ,F7FMKJ,398,_02,1981,44,age_04,_03,_07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,_02,_03,_03,_02,_01,_01,_02,_03,_04,_04,_03,_04,_04,_04,_03,_02,_02,_07,_05,,,,,,,_04,,,_04,,_04,,Yes,_01,company_01,_01,_01,_01,_10,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,gen_pop,2J95DK,2J95DK,399,_02,1982,43,age_04,_06,_01,_Other,_03,_06,_Other,,,,,,,,_02,Working upwards of 60 hours per week. Personnel issues within my department.,_04,_03,_10,_21,_04,_12,,,,,,,,,,,,,,,,,,,,,_02,_03,_03,_02,_01,_03,_03,_03,_03,_04,_03,_02,_03,_03,_05,_02,_05,_04,_03,,,,,,,,_04,_04,_04,,,,Yes,_04,company_03,_04,_01,_01,_07,_01,,,,,,_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,gen_pop,1HIG8E,1HIG8E,400,_02,2000,25,age_03,_03,_01,_02,_05,_03,,,,,,,,,_04,"I love the culture, people, and our producst that make a difference",_02,,,,,,,,,,,,,,,,,,,,,,,,,,_03,_04,_03,_03,_02,_02,_04,_04,_02,_03,_03,_02,_02,_03,_03,_01,_06,_01,_05,_07,,,,,_05,,,,_03,_03,_05,,Yes,_08,company_05,_10,_04,_01,_04,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,gen_pop,7E377F,7E377F,401,_02,1987,38,age_04,_06,_01,_Other,_Other,_06,,,,,,,,,_04,I am exactly where I need to be right now,_01,,,,,,,,,,,,,,,,,,,,,,,,,,_03,_04,_02,_02,_01,_03,_04,_02,_03,_04,_04,_03,_04,_03,_04,_01,_03,_05,,,,,,,,,_03,,_03,,,,Yes,_08,company_05,_10,_04,_02,_05,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,gen_pop,97D6IN,97D6IN,402,_02,1986,39,age_04,_03,_01,_03,_04,_01,_06,,,,,,,,_03,I am loooking to return to my OSINT and intelligence analytical background and education vs. managing on site guards and client portfolios.,_05,_01,_02,_16,_09,_06,_14,_04,,,,,,,,,,,,,,,,,,,_03,_04,_03,_04,_02,_04,_03,_02,_04,_04,_04,_03,_04,_04,_03,_01,_03,_01,_05,_07,,,,,_04,,_02,,_04,,_04,,Yes,_08,company_05,_10,_01,_03,_05,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,gen_pop,7FK2IM,7FK2IM,404,_02,1964,61,age_06,_06,_01,_03,_01,_01,,,,,,,,,_05,I'm excited to stay abreast of the changes that AI will have for our industry,_01,,,,,,,,,,,,,,,,,,,,,,,,,,_02,_03,_03,_02,_03,_03,_03,_03,_04,_04,_04,_04,_04,_04,_06,_04,_05,_01,_06,_07,,,,,_05,,,,_05,_04,_05,,Yes,_02,company_01,_03,_02,_01,_07,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,gen_pop,A2FKE7,A2FKE7,406,_02,1977,48,age_05,_06,_03,_03,_02,_03,,,,,,,,,_01,"Unemployed at this time. Previous job: Archaic and toxic environment, men's club",_05,_03,_03,_14,_13,_04,,,,,,,,,,,,,,,,,,,,,_04,_04,_04,_04,_01,_04,_04,_04,_03,_02,_01,_03,_01,_04,_01,_01,_07,_04,_06,_05,,,,,,,,_04,_04,_03,_04,,Yes,_08,company_05,_10,_01,_01,_08,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,gen_pop,EHAA24,EHAA24,407,_02,1977,48,age_05,_07,_01,_01,_04,_02,_03,_Other,,,,,,,_04,the people,_03,_03,_04,_Other,,,,,,,,,,,,,,,,,,,,,,,_03,_02,_03,_03,_02,_03,_03,_02,_04,_03,_04,_03,_03,_04,_02,_01,_02,_07,_06,_05,,,,,,_02,,,_04,_04,_03,,Yes,_05,company_03,_07,_01,_03,_07,none,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,gen_pop,LJJ2E9,LJJ2E9,408,_02,1968,57,age_06,_07,_01,_02,_03,_01,_02,,,,,,,,_02,"No, I’m not. The work environment has become hostile, which makes it difficult for people to feel ownership or pride in what they do. Open communication is discouraged, opinions are often dismissed, and if you don’t align with certain viewpoints, you’re talked down to or made to feel inadequate. That kind of culture kills motivation and collaboration. This unfortunately is only in North America, the rest of our company is not anything like this which is disheartening.  I love the product and my coworkers which makes it hard to leave.",_05,_03,_11,_13,_10,_03,_19,,,,,,,,,,,,,,,,,,,,_04,_04,_04,_03,_04,_04,_04,_02,_04,_03,_04,_04,_04,_04,_02,_01,_07,_05,_06,_04,,,,,,,,_03,_04,_04,_04,,Yes,_01,company_01,_07,_04,_01,_09,_01,_04,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,gen_pop,NC7BL3,NC7BL3,409,_02,1961,64,age_06,_05,_01,_02,_03,_08,,,,,,,,,_05,Great company with a solid brand and quality products. Strong management team.,_01,,,,,,,,,,,,,,,,,,,,,,,,,,_04,_04,_04,_03,_01,_03,_03,_04,_04,_04,_04,_04,_04,_04,_04,_01,_07,_05,_01,,,,,,_04,,,,_04,,_04,,Yes,_08,company_05,_10,_04,_01,_09,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,gen_pop,7MB868,7MB868,410,_02,1985,40,age_04,_06,_01,_Other,_04,_06,,,,,,,,,_03,The current role has moved away from investigations and I would like to do more of that,_03,_03,_02,_10,_16,_18,_09,,,,,,,,,,,,,,,,,,,,_04,_04,_04,_04,_03,_03,_04,_03,_04,_03,_03,_03,_03,_03,_02,_01,_04,_07,_05,_03,_01,,,,_03,,_04,_03,_04,,_05,,Yes,_08,company_05,_10,_04,_01,_06,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,gen_pop,4B9D8J,4B9D8J,413,_02,1973,52,age_05,_04,_01,_03,_07,_08,,,,,,,,,_04,Enjoy working for the organization and appreciate the people i work with.,_02,,,,,,,,,,,,,,,,,,,,,,,,,,_03,_04,_04,_04,_02,_02,_04,_04,_04,_04,_04,_04,_04,_03,_02,_01,_03,_05,,,,,,,,,_04,,_04,,,,Yes,_01,company_01,_08,_01,_01,_04,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,gen_pop,CGIFDB,CGIFDB,414,_02,1999,26,age_03,_02,_01,_01,_07,_08,,,,,,,,,_05,I have been the industry just under a year and couldn't be happier I made the switch. The people are amazing and I feel like I've found home working here.,_01,,,,,,,,,,,,,,,,,,,,,,,,,,_02,_03,_02,_02,_02,_02,_02,_02,_04,_04,_04,_04,_04,_04,_03,_02,_02,_07,_06,_05,_04,_03,,,,_05,_05,_05,_05,_05,_05,,Yes,_05,company_03,_06,_01,_01,_07,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,gen_pop,47AF8G,47AF8G,416,_02,1971,54,age_05,_07,_01,_01,_03,_Other,,,,,,,,,_04,"I genuinely enjoy my work because it allows me to support and make a meaningful impact on others—whether that's clients, colleagues, or partners—through solutions that truly matter. What makes this even more fulfilling is being part of an industry that has proven to be both essential and resilient, consistently withstanding economic fluctuations. The stability of the sector, combined with the opportunity to solve complex challenges and build lasting relationships, is what makes this career deeply rewarding for me.",_01,,,,,,,,,,,,,,,,,,,,,,,,,,_03,_03,_03,_02,_02,_02,_03,_02,_03,_04,_04,_04,_04,_04,_03,_01,_01,_06,_05,_02,_04,_07,,,_03,_03,,_04,_03,_03,_03,,Yes,_08,company_05,_10,_04,_01,_08,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,gen_pop,D7348D,D7348D,417,_02,1974,51,age_05,_07,_01,_Other,_03,_02,,,,,,,,,_03,"I have a very good job and I enjoy what I do, but it has been a hard fought battle.  It took me over 20 years to get to the Director level at my company, and I continue to strive to move further up.  I feel like I am constantly battling the good ole boy's network even today.  It is much, much better than it was when I first started in this industry, but I think it will take at least a generation before we have enough women in powerful positions who will be able to pull other women up with them.",_01,,,,,,,,,,,,,,,,,,,,,,,,,,_04,_04,_04,_03,_01,_01,_04,_04,_04,_04,_03,_04,_04,_04,_02,_01,_05,_04,_06,_01,,,,,_04,,,_04,_03,_04,,,Yes,_08,company_05,_10,_04,_01,_07,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,gen_pop,A23CF7,A23CF7,419,_02,2001,24,age_02,_03,_01,_02,_04,_03,,,,,,,,,_04,I love the company I work out and feel well connected to the industry as well,_02,,,,,,,,,,,,,,,,,,,,,,,,,,_03,_04,_04,_02,_02,_03,_02,_03,_04,_03,_03,_03,_03,_03,_04,_02,_05,_04,_06,_07,_02,,,,,_04,,_04,_04,_04,_04,,Yes,_08,company_05,_10,_03,_01,_04,_03,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,gen_pop,E4D1LM,E4D1LM,420,_02,1991,34,age_03,_05,_01,_Other,_04,_06,_08,,,,,,,,_04,"I like my job and my role, but as the only female on the team, I find it hard to advance.",_02,,,,,,,,,,,,,,,,,,,,,,,,,,_04,_04,_04,_04,_01,_03,_04,_03,_04,_04,_03,_03,_03,_04,_02,_01,_07,_03,_04,_05,,,,,,,_05,_05,_05,,_05,,Yes,_08,company_05,_10,_04,_01,_06,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,gen_pop,GKIN8F,GKIN8F,421,_02,1990,35,age_04,_05,_01,_02,_Other,_01,,,,,,,,,_04,"I enjoy my job, my position, my responsibilities. 
I continue to learn new things every day",_01,,,,,,,,,,,,,,,,,,,,,,,,,,_03,_04,_04,_02,_03,_03,_04,_03,_04,_03,_03,_04,_04,_04,_03,_02,none,,,,,,,,,,,,,,,,Yes,_08,company_05,_07,_04,_02,_03,_03,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,gen_pop,8I35E1,8I35E1,422,_02,1982,43,age_04,_07,_01,_02,_04,_03,,,,,,,,,_05,Great company and team.,_02,,,,,,,,,,,,,,,,,,,,,,,,,,_03,_04,_03,_04,_02,_02,_04,_04,_04,_04,_04,_04,_03,_03,_03,_01,_05,_06,,,,,,,,,,,_04,_04,,,Yes,_08,company_05,_08,_01,_03,_10,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
